University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non-Hormonal IUD,Nonhormonal IUD,Paragard,Contraceptive implant,Nexplanon,Contraceptive injection,Control shot,Depo-Provera,Depo,emergency contraception,emergency contraceptives,morning after pill,Plan B,levonorgestrel,ella,ulipristal acetate,contraceptive pill,control pill,diaphragm,spermicide,contraceptive patch,control patch,vaginal ring,control ring,contraceptive ring,cervical cap,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/student-support/health-services,6,"['https://www.aamu.edu/campus-life/student-support/health-services/', 'https://www.aamu.edu/campus-life/student-support/health-services/medical-services.html', 'https://www.aamu.edu/campus-life/student-support/health-services/_documents/student-health-plan-waiver.pdf', 'http://www.aamu.edu/campus-life/student-support/health-services/_documents/medical-form.pdf']",1117,53.98,8.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.007,0.632,0.182,"[-1, -1, 'Thu, 06 Feb 2020 15:36:10 GMT', 'Thu, 24 Oct 2019 21:17:14 GMT', 'Thu, 24 Oct 2019 21:48:19 GMT', -1]",0,['https://www.aamu.edu/campus-life/student-support/health-services'],1
University of Alabama at Birmingham,https://www.uab.edu/students/health,5,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit', 'https://www.uab.edu/students/health/insurance-waivers/ship-faq']",5800,73.18,6.1,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.039,0.5,0.182,"['Sat, 15 Aug 2020 15:14:55 GMT', 'Sat, 15 Aug 2020 16:57:22 GMT', 'Sat, 15 Aug 2020 15:14:58 GMT', 'Sat, 15 Aug 2020 16:25:04 GMT', 'Fri, 10 Nov 2017 09:59:46 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],1005,83.48,3.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008,0.478,0.072,"['Sat, 15 Aug 2020 15:45:06 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,2,['https://shc.sa.ua.edu/faq/'],6195,76.91,6.94,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.013,0.511,0.122,"[-1, 'Thu, 05 Dec 2019 15:57:02 GMT']",1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/faq/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,2,"['https://cws.auburn.edu/aumc/pm/Womens-Health/Services', 'https://cws.auburn.edu/aumc/pm/Services']",1263,64.72,7.73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.525,0.061,"[-1, -1]",1,"['https://cws.auburn.edu/aumc', 'https://cws.auburn.edu/aumc/pm/Services']",1
Jacksonville State University,http://www.jsu.edu/studenthealth,1,['http://www.jsu.edu/studenthealth/'],440,99.09,2.42,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.711,0.041,[-1],0,['http://www.jsu.edu/studenthealth'],1
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
