University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,hormonal_iud_coverage,copper_iud_coverage,contraceptive_implant_coverage,contraceptive_injection_coverage,hormonal_iud_keyword_count,copper_iud_keyword_count,contraceptive_implant_keyword_count,contraceptive_injection_keyword_count,prevalence_metric,coverage_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non-Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo-Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/student-support/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,3,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit']",4086,70.25,6.27,0,0,1,1,0,0,3,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.057,0.549,0.177,"['Mon, 17 Aug 2020 05:26:45 GMT', 'Mon, 17 Aug 2020 05:26:46 GMT', 'Mon, 17 Aug 2020 04:05:03 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],1005,83.48,3.83,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.013,0.478,0.072,"['Mon, 17 Aug 2020 04:05:05 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Jacksonville State University,http://www.jsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,1,['https://www.una.edu/healthservices/health-tips/sexual-health.html'],1207,53.48,11.79,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.057,0.466,0.152,[-1],-1,[],1
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,1,['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml'],4129,80.99,4.3,0,0,1,1,0,0,3,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.086,0.73,0.052,[-1],1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml']",1
University of Alaska Fairbanks,https://uaf.edu/chc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,9,"['https://health.arizona.edu/womens-health', 'https://health.arizona.edu/sites/default/files/sextalk_08.21.17_online_0.pdf', 'https://health.arizona.edu/2020-2021-campuscare-benefits-coverage-period', 'https://health.arizona.edu/sites/default/files/sextalk_11.29.17_online_0.pdf', 'https://health.arizona.edu/sites/default/files/data/Univ_of_AZ_1920_PDBS.pdf', 'https://friend2friend.health.arizona.edu/content/anabolic-steroids']",1697,68.01,7.1,0,0,1,1,0,0,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.055,0.681,0.143,-1,1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,1,['https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/'],1115,51.04,9.25,0,0,1,0,0,0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.039,0.877,-0.001,"['Mon, 17 Aug 2020 03:57:57 GMT']",2,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/medical-services/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,3,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/annual-report-2016-17/']",6156,62.2,8.53,1,0,1,1,1,0,7,2,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0.027,0.657,0.158,"[-1, -1, -1]",2,"['https://ualr.edu/health', 'https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/womens-health-2/']",1
