University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non - Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo - Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/student-support/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,3,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit']",4089,70.25,6.27,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.057,0.549,0.177,"['Thu, 17 Sep 2020 15:05:49 GMT', 'Thu, 17 Sep 2020 15:43:47 GMT', 'Thu, 17 Sep 2020 15:43:48 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],1005,83.48,3.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.013,0.478,0.072,"['Thu, 17 Sep 2020 15:13:27 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Jacksonville State University,http://www.jsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,1,['https://www.una.edu/healthservices/health-tips/sexual-health.html'],1209,50.25,12.11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.068,0.466,0.205,[-1],-1,[],1
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,1,['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml'],4009,80.99,4.3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.086,0.73,0.052,[-1],1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml']",1
University of Alaska Fairbanks,https://www.uaf.edu/chc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,9,"['https://health.arizona.edu/womens-health', 'https://health.arizona.edu/sites/default/files/sextalk_08.21.17_online_0.pdf', 'https://health.arizona.edu/2019-2020-campuscare-benefits-coverage-period', 'https://health.arizona.edu/sites/default/files/sextalk_11.29.17_online_0.pdf', 'https://health.arizona.edu/sites/default/files/data/Univ_of_AZ_1920_PDBS.pdf', 'https://friend2friend.health.arizona.edu/content/anabolic-steroids']",2182,66.53,7.8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0.049,0.659,0.122,"['Thu, 17 Sep 2020 12:29:44 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 17 Sep 2020 11:56:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 17 Jun 2020 20:31:31 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 17 Sep 2020 15:46:40 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,1,['https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/'],1203,53.22,8.81,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.036,0.877,-0.001,"['Thu, 17 Sep 2020 15:00:21 GMT']",2,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/medical-services/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,4,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/annual-report-2016-17/', 'https://ualr.edu/health/annual-report-2017-2018/']",10349,62.46,8.45,15,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,2,0.031,0.658,0.14,"[-1, -1, -1, -1]",2,"['https://ualr.edu/health', 'https://ualr.edu/health/assessments/', 'https://ualr.edu/health/annual-report-2016-17/']",1
University of Arkansas,https://health.uark.edu,2,['https://health.uark.edu/medical-health/womensclinic.php'],712,69.01,7.33,4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.041,0.706,0.198,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT']",2,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/televisits.php', 'https://health.uark.edu/medical-health/womensclinic.php']",1
