University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non - Hormonal IUD,Nonhormonal IUD,Paragard,Contraceptive implant,Nexplanon,Contraceptive injection,Control shot,Depo - Provera,Depo,emergency contraception,emergency contraceptives,morning after pill,Plan B,levonorgestrel,ella,ulipristal acetate,contraceptive pill,control pill,diaphragm,spermicide,contraceptive patch,control patch,vaginal ring,control ring,contraceptive ring,cervical cap,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/student-support/health-services,6,"['https://www.aamu.edu/campus-life/student-support/health-services/', 'https://www.aamu.edu/campus-life/student-support/health-services/medical-services.html', 'https://www.aamu.edu/campus-life/student-support/health-services/_documents/student-health-plan-waiver.pdf', 'http://www.aamu.edu/campus-life/student-support/health-services/_documents/medical-form.pdf']",1115,53.98,8.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.632,0.182,"[-1, -1, 'Thu, 06 Feb 2020 15:36:10 GMT', 'Thu, 24 Oct 2019 21:17:14 GMT', 'Thu, 24 Oct 2019 21:48:19 GMT', -1]",0,['https://www.aamu.edu/campus-life/student-support/health-services'],1
University of Alabama at Birmingham,https://www.uab.edu/students/health,13,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit', 'https://www.uab.edu/students/health/insurance-waivers/ship-faq', 'https://www.uab.edu/students/health/images/Patient-Education-materials/SHS_PatientEd_UTI.pdf', 'https://www.uab.edu/students/health/patient-education', 'https://www.uab.edu/students/health/faqs/common-conditions', 'https://www.uab.edu/students/health/images/Patient-Education-materials/SHS_PatientEd_BVCandida.pdf']",6500,72.1,6.11,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0.047,0.424,0.289,"['Fri, 18 Sep 2020 00:05:46 GMT', 'Fri, 18 Sep 2020 09:28:57 GMT', 'Fri, 18 Sep 2020 00:05:44 GMT', 'Mon, 24 Aug 2020 22:38:51 GMT', 'Thu, 17 Sep 2020 22:33:22 GMT', 'Fri, 10 Nov 2017 09:59:46 GMT', 'Mon, 24 Aug 2020 22:40:24 GMT', 'Mon, 24 Aug 2020 22:38:44 GMT', 'Fri, 18 Sep 2020 00:05:45 GMT', 'Thu, 17 Sep 2020 23:08:19 GMT', 'Mon, 24 Aug 2020 22:40:43 GMT', 'Mon, 24 Aug 2020 19:54:45 GMT', 'Mon, 24 Aug 2020 22:40:04 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],1005,83.48,3.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.478,0.072,"['Fri, 18 Sep 2020 09:05:53 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,3,"['https://shc.sa.ua.edu/faq/', 'https://shc.sa.ua.edu/services/']",7730,64.43,8.71,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0.017,0.527,0.072,"[-1, 'Thu, 05 Dec 2019 15:57:02 GMT', -1]",1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/clinic-services/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,1,['https://cws.auburn.edu/aumc/pm/Services'],874,70.75,6.43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.706,-0.061,[-1],1,"['https://cws.auburn.edu/aumc', 'https://cws.auburn.edu/aumc/pm/Services']",1
Jacksonville State University,http://www.jsu.edu/studenthealth,2,"['http://www.jsu.edu/studenthealth/', 'http://www.jsu.edu/studenthealth/educational-services.html']",784,90.11,3.91,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.023,0.603,0.163,"[-1, -1]",0,['http://www.jsu.edu/studenthealth'],1
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
