University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/wellness-center,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,,,,,,,,,,,,,,,0
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,,,,,,,,,,,,,,,0
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,1,['https://shc.sa.ua.edu/faq/'],6195,59.38,9.43,4,2,2,0.032,0.543,0.064,[-1],1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/faq/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,,,,,,,,,,,,,,,0
Jacksonville State University,http://www.jsu.edu/studenthealth,1,['http://www.jsu.edu/studenthealth/educational-services.html'],359,80.64,5.29,1,1,0,0.026,0.519,0.258,[-1],1,"['http://www.jsu.edu/studenthealth', 'http://www.jsu.edu/studenthealth/educational-services.html']",1
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,,,,,,,,,,,,,,,0
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,,,,,,,,,,,,,,,0
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,1,['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml'],4140,81.19,4.87,2,1,1,0.02,0.724,0.016,[-1],1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml']",1
University of Alaska Fairbanks,https://uaf.edu/chc,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,1,['https://www.uas.alaska.edu/juneau/health/faq.html'],984,52.13,11.21,2,1,1,0.028,0.687,0.1,[-1],1,"['https://www.uas.alaska.edu/juneau/health', 'https://www.uas.alaska.edu/juneau/health/faq.html']",1
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,10,"['https://health.arizona.edu/file/441', 'https://health.arizona.edu/file/435', 'https://health.arizona.edu/over-counter-products', 'https://health.arizona.edu/sites/default/files/sextalk_04.17.17_online.pdf', 'https://health.arizona.edu/sites/default/files/sextalk_02.27.17_online.pdf', 'https://health.arizona.edu/sites/default/files/sextalk_01.23.17_online.pdf', 'https://health.arizona.edu/contraception', 'https://health.arizona.edu/sites/default/files/sextalk_11.08.17_online.pdf', 'https://health.arizona.edu/ra', 'https://health.arizona.edu/sites/default/files/sextalk_08.21.17_online_0.pdf']",2199,79.74,4.72,20,11,9,0.105,0.601,0.117,"['Thu, 16 Jul 2020 14:08:07 GMT', 'Thu, 16 Jul 2020 14:08:07 GMT', 'Thu, 16 Jul 2020 14:08:08 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 14:08:09 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 12:13:17 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT']",2,"['https://health.arizona.edu', 'https://health.arizona.edu/lgbtq-health', 'https://health.arizona.edu/contraception']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,2,"['https://in.nau.edu/campus-health-services/sexual-health-programs/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/']",1375,80.68,5.04,28,18,10,0.102,0.485,0.223,"[-1, 'Thu, 16 Jul 2020 10:51:59 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,8,"['https://ualr.edu/health/2015/07/21/aids-healthcare-foundation-provides-free-condoms/', 'https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/', 'https://ualr.edu/health/2015/07/13/red-ribbon-week/', 'https://ualr.edu/health/2013-2014/', 'https://ualr.edu/health/annual-report/', 'https://ualr.edu/health/annual-report-2017-2018/', 'https://ualr.edu/health/annual-report-2015-2016/']",12824,63.94,7.98,51,31,20,0.084,0.547,0.165,"[-1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://ualr.edu/health', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/']",1
University of Arkansas,https://health.uark.edu,3,"['https://health.uark.edu/_resources/documents/Medical_Resources/sexual-health/gyt_resource_prevention_lowdown.pdf', 'https://health.uark.edu/medical-health/gyt-clinic.php', 'https://health.uark.edu/_resources/documents/Medical_Resources/ait_travel_checklist.pdf']",588,88.8,3.3,2,1,1,0.027,0.556,0.21,"['Fri, 02 Aug 2019 21:46:27 GMT', -1, 'Fri, 02 Aug 2019 21:46:27 GMT']",2,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/televisits.php', 'https://health.uark.edu/medical-health/gyt-clinic.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,1,['https://www.astate.edu/a/student-health-center/'],527,58.79,8.17,2,1,1,0.026,0.652,0.08,[-1],0,['https://www.astate.edu/a/student-health-center'],1
Arkansas Tech University,https://www.atu.edu/hwc,,,,,,,,,,,,,,,0
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,,,,,,,,,,,,,,,0
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,1,['https://chw.calpoly.edu/eros'],435,61.91,8.98,2,1,1,0.024,0.521,0.279,"['Tue, 14 Jul 2020 07:07:26']",3,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/wellbeing-services', 'https://chw.calpoly.edu/peer-wellness-program-teams', 'https://chw.calpoly.edu/eros']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,3,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/Services/pharmacy/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html']",2038,57.02,9.02,6,3,3,0.029,0.571,0.097,"['Sat, 11 Jul 2020 09:39:44 GMT', 'Sat, 11 Jul 2020 09:39:42 GMT', 'Sat, 11 Jul 2020 09:39:39 GMT']",2,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/Services/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,,,,,,,,,,,,,,,0
California State University San Bernardino,https://www.csusb.edu/student-health-center,1,['https://www.csusb.edu/student-health-center/family-pact'],1235,80.03,4.98,4,2,2,0.024,0.549,0.168,"['Thu, 16 Jul 2020 14:08:40 GMT']",1,"['https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/family-pact']",1
California State Polytechnic University Pomona,https://www.cpp.edu/health,10,"['https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/wellness-center/wellness-card.shtml', 'https://www.cpp.edu/health/docs/myths-facts-sexual-health-2018-11.pdf', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-topics/hiv.shtml', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml', 'https://www.cpp.edu/health/health-topics/sexually-transmitted-infections.shtml', 'https://www.cpp.edu/health/health-topics/get-tested.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml']",9212,78.12,5.87,99,60,39,0.12,0.566,0.124,"[-1, -1, -1, 'Tue, 14 Jan 2020 17:08:10 GMT', -1, -1, -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,6,"['https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml', 'https://www.csuchico.edu/healthcenter/_assets/documents/birth-control.pdf', 'https://www.csuchico.edu/healthcenter/services/health-education.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/_assets/documents/otcprices.pdf', 'https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml']",3115,42.13,11.65,2,2,0,0.027,0.575,0.121,"[-1, 'Fri, 10 Jul 2020 00:04:51 GMT', -1, -1, 'Fri, 10 Jul 2020 00:09:03 GMT', -1]",1,"['https://www.csuchico.edu/healthcenter', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml']",1
California State University Dominguez Hills,https://www.csudh.edu/shps,,,,,,,,,,,,,,,0
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,3,"['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html', 'http://www.fresnostate.edu/studentaffairs/health/documents/Pharmacy_OTC_Products.pdf', 'http://www.fresnostate.edu/studentaffairs/health/medical/pharmacy.html']",1326,74.79,5.36,4,2,2,0.034,0.608,0.154,"[-1, 'Tue, 15 Aug 2017 16:39:34 GMT', -1]",-1,[],1
California State University Fullerton,http://www.fullerton.edu/health,,,,,,,,,,,,,,,0
California State University East Bay,https://www.csueastbay.edu/shcs,,,,,,,,,,,,,,,0
California State University Long Beach,http://web.csulb.edu/divisions/students/shs,5,"['https://web.csulb.edu/divisions/students/shs/services/familypact.html', 'https://web.csulb.edu/divisions/students/shs/faq.html', 'https://web.csulb.edu/divisions/students/shs/services/pharmacy.html', 'https://web.csulb.edu/divisions/students/shs/wellness/programs/peer_educator.html', 'http://web.csulb.edu/divisions/students/shs/sensitive_exams.html']",4994,62.78,8.09,9,5,4,0.042,0.493,0.196,"[-1, -1, -1, -1, -1]",1,"['http://web.csulb.edu/divisions/students/shs', 'http://web.csulb.edu/divisions/students/shs/services/pharmacy.html']",1
California State University Los Angeles,http://www.calstatela.edu/studenthealthcenter,4,"['http://www.calstatela.edu/studenthealthcenter/zika-virus-disease', 'http://www.calstatela.edu/studenthealthcenter/safe/sexual-violence-and-misconduct', 'http://www.calstatela.edu/studenthealthcenter/safe/prevention', 'http://www.calstatela.edu/studenthealthcenter/safe/dating-and-domestic-violence']",12822,67.37,7.97,35,22,13,0.059,0.483,0.134,"['Thu, 16 Jul 2020 14:09:03 GMT', 'Thu, 16 Jul 2020 14:09:04 GMT', 'Thu, 16 Jul 2020 14:09:05 GMT', 'Thu, 16 Jul 2020 14:09:06 GMT']",1,"['http://www.calstatela.edu/studenthealthcenter', 'http://www.calstatela.edu/studenthealthcenter/zika-virus-disease']",1
California State University Northridge,https://www.csun.edu/shc,1,['https://www.csun.edu/shc/assessment-and-evaluation'],1126,30.68,18.42,2,1,1,0.023,0.408,0.143,"['Thu, 16 Jul 2020 14:09:09 GMT']",1,"['https://www.csun.edu/shc', 'https://www.csun.edu/shc/assessment-and-evaluation']",1
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,5,"['https://www.csus.edu/student-life/health-counseling/wellness-education/services.html', 'https://www.csus.edu/student-life/health-counseling/_internal/_documents/impact-statement.pdf', 'https://www.csus.edu/student-life/health-counseling/_internal/_documents/impact-statement-text-only.pdf', 'https://www.csus.edu/student-life/health-counseling/wellness-education/_internal/_documents/drug-free-schools-campuses-regulations.pdf', 'https://www.csus.edu/student-life/health-counseling/sexual-violence-support/_internal/_documents/rights-and-options-for-victims-of-sexual-misconduct.pdf']",927,73.87,6.25,20,11,9,0.156,0.522,0.056,"[-1, 'Tue, 16 Jun 2020 16:38:34 GMT', 'Tue, 16 Jun 2020 16:38:34 GMT', 'Wed, 27 May 2020 18:09:46 GMT', 'Fri, 19 Jun 2020 21:58:49 GMT']",2,"['https://www.csus.edu/student-life/health-counseling', 'https://www.csus.edu/student-life/health-counseling/wellness-education/index.html', 'https://www.csus.edu/student-life/health-counseling/wellness-education/services.html']",1
University of California Berkeley,https://uhs.berkeley.edu,10,"['https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang/get-protected-sexual-health-care-tang', 'https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang', 'https://uhs.berkeley.edu/shep', 'https://uhs.berkeley.edu/sites/default/files/syphilismsm-cdc-factsheet.pdf', 'https://uhs.berkeley.edu/sites/default/files/hp-doyousex.pdf', 'https://uhs.berkeley.edu/sites/default/files/birthcontroloptions.pdf', 'https://uhs.berkeley.edu/sites/default/files/nuvaring.pdf', 'https://uhs.berkeley.edu/medical/pharmacy', 'https://uhs.berkeley.edu/sites/default/files/birth-control_across_genders.pdf', 'https://uhs.berkeley.edu/sites/default/files/pops.pdf']",5044,70.9,7.32,86,52,34,0.131,0.453,0.214,"['Thu, 16 Jul 2020 14:09:17 GMT', 'Thu, 16 Jul 2020 14:09:18 GMT', 'Thu, 16 Jul 2020 14:09:19 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 13 Jan 2020 22:04:50 GMT', 'Thu, 16 Jul 2020 13:56:22 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Sat, 01 Feb 2020 00:59:25 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/medical/pharmacy']",1
University of California Davis,https://shcs.ucdavis.edu,10,"['https://shcs.ucdavis.edu/topics/condom-external', 'https://shcs.ucdavis.edu/services/love-lab', 'https://shcs.ucdavis.edu/topics/condom-internal', 'https://shcs.ucdavis.edu/wellnesstogo', 'https://shcs.ucdavis.edu/blog/archive/safer-sex-your-body-and-pleasure', 'https://shcs.ucdavis.edu/topics/sexually-transmitted-infections-sti', 'https://shcs.ucdavis.edu/blog/archive/sharing-love-love-lab-10-year-anniversary', 'https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/are-you-sexcessful', 'https://shcs.ucdavis.edu/topics/emergency-contraception-ec']",11932,69.36,7.75,169,120,49,0.146,0.574,0.175,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/services/love-lab']",1
