University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD ,Progesterone IUD ,Progestin ,Hormonal IUD ,Mirena ,Skyla ,Kyleena ,Liletta ,Copper IUD ,Non-Hormonal IUD ,Nonhormonal IUD ,Paragard ,Contraceptive implant ,Nexplanon ,Contraceptive injection ,Control shot ,Depo-Provera ,Depo ,emergency contraception ,emergency contraceptives ,morning after pill ,Plan B ,levonorgestrel ,ella ,ulipristal acetate ,contraceptive pill ,control pill ,diaphragm ,spermicide ,contraceptive patch ,control patch ,vaginal ring ,control ring ,contraceptive ring ,cervical cap,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/wellness-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,5,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit', 'https://www.uab.edu/students/health/insurance-waivers/ship-faq']",5812,80.73,5.74,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.379,0.29,"['Thu, 16 Jul 2020 04:56:09 GMT', 'Thu, 16 Jul 2020 05:37:42 GMT', 'Thu, 16 Jul 2020 04:56:11 GMT', 'Thu, 16 Jul 2020 04:37:08 GMT', 'Fri, 10 Nov 2017 09:59:46 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],993,83.48,3.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008,0.478,0.072,"['Fri, 17 Jul 2020 19:19:44 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,2,['https://shc.sa.ua.edu/faq/'],6195,76.91,6.94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.511,0.122,"[-1, 'Thu, 05 Dec 2019 15:57:02 GMT']",1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/faq/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,2,"['https://cws.auburn.edu/aumc/pm/Womens-Health/Services', 'https://cws.auburn.edu/aumc/pm/Services']",1263,64.72,7.73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.525,0.061,"[-1, -1]",1,"['https://cws.auburn.edu/aumc', 'https://cws.auburn.edu/aumc/pm/Services']",1
Jacksonville State University,http://www.jsu.edu/studenthealth,1,['http://www.jsu.edu/studenthealth/'],455,97.99,2.73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.711,0.041,[-1],0,['http://www.jsu.edu/studenthealth'],1
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,1,['https://www.southalabama.edu/departments/studenthealth/travelmedicine.html'],1550,74.28,5.67,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.427,0.089,[-1],1,"['https://www.southalabama.edu/departments/studenthealth', 'https://www.southalabama.edu/departments/studenthealth/travelmedicine.html']",1
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,2,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",7654,73.67,5.58,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.665,0.099,"[-1, -1]",1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",1
University of Alaska Fairbanks,https://uaf.edu/chc,1,['https://uaf.edu/chc/eligibility-fees.php'],749,81.69,4.28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.019,0.399,0.2,[-1],1,"['https://uaf.edu/chc', 'https://uaf.edu/chc/eligibility-fees.php']",1
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,2,"['https://www.uas.alaska.edu/juneau/health/services.html', 'https://www.uas.alaska.edu/juneau/health/resources.html']",2050,49.7,10.87,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.571,0.174,"[-1, -1]",1,"['https://www.uas.alaska.edu/juneau/health', 'https://www.uas.alaska.edu/juneau/health/services.html']",1
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,16,"['https://health.arizona.edu/birth-control-prescriptions', 'https://health.arizona.edu/contraception', 'https://health.arizona.edu/womens-health', 'https://health.arizona.edu/file/423', 'https://health.arizona.edu/file/386', 'https://health.arizona.edu/sextalk-column', 'https://health.arizona.edu/sites/default/files/sextalk_09.27.17_online.pdf', 'https://health.arizona.edu/pregnancy', 'https://health.arizona.edu/file/396', 'https://health.arizona.edu/resources-1', 'https://health.arizona.edu/sites/default/files/sextalk_09_26_16_online.pdf']",5086,88.29,3.24,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0.078,0.508,0.206,"['Thu, 16 Jul 2020 00:01:26 GMT', 'Thu, 16 Jul 2020 03:06:27 GMT', 'Thu, 16 Jul 2020 04:46:51 GMT', 'Thu, 16 Jul 2020 05:40:09 GMT', 'Thu, 16 Jul 2020 05:40:10 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 00:26:24 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 05:35:46 GMT', 'Thu, 16 Jul 2020 05:40:11 GMT', 'Thu, 16 Jul 2020 05:40:12 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,7,"['https://in.nau.edu/campus-health-services/online-birth-control-module-unassigned/', 'https://in.nau.edu/campus-health-services/online-birth-control-class-assigned-module/', 'https://in.nau.edu/campus-health-services/sexual-health-programs/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/', 'https://in.nau.edu/campus-health-services/sexual-health-resources/', 'https://in.nau.edu/campus-health-services/major-medical-insurance/']",4349,79.25,4.84,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.506,0.244,"['Thu, 16 Jul 2020 04:37:20 GMT', -1, 'Thu, 16 Jul 2020 02:44:48 GMT', 'Thu, 16 Jul 2020 04:37:22 GMT', -1, -1, 'Thu, 16 Jul 2020 03:06:42 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/sexual-health-programs/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,7,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/services/', 'https://ualr.edu/health/annual-report-2017-2018/', 'https://ualr.edu/health/annual-report-2016-17/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/self-breast-exam/']",12061,62.08,8.31,40,20,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,3,0,3,0,0,0,0.069,0.632,0.146,"[-1, -1, -1, -1, -1, -1, -1]",1,"['https://ualr.edu/health', 'https://ualr.edu/health/womens-health/']",1
University of Arkansas,https://health.uark.edu,4,"['https://health.uark.edu/medical-health/womensclinic.php', 'https://health.uark.edu/mental-health/resources/caps-resources-anxiety-depression-reduction-workbook.pdf']",71560,78.52,5.22,9,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.064,0.642,0.073,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT', 'Tue, 21 Apr 2020 04:25:22 GMT', 'Mon, 01 Jun 2020 21:42:29 GMT']",2,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php', 'https://health.uark.edu/medical-health/womensclinic.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,1,['https://www.astate.edu/a/student-health-center/'],527,71.66,5.91,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.696,0.075,[-1],0,['https://www.astate.edu/a/student-health-center'],1
Arkansas Tech University,https://www.atu.edu/hwc,6,"['https://www.atu.edu/hwc/wellwomanvisits.php', 'https://www.atu.edu/hwc/resources.php', 'https://www.atu.edu/hwc/docs/gastroreflux.pdf', 'https://www.atu.edu/hwc/docs/UTI%20FINAL.pdf']",1473,80.91,4.18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.707,0.115,"[-1, -1, 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Mon, 27 Apr 2020 18:22:50 GMT']",1,"['https://www.atu.edu/hwc', 'https://www.atu.edu/hwc/docs/release_of_information.doc']",1
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,1,['https://uca.edu/studenthealth/womens-health-clinic-2/'],393,76.73,5.37,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.523,0.056,[-1],1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,2,"['https://chw.calpoly.edu/eros', 'https://chw.calpoly.edu/self_care']",935,51.57,10.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.558,0.267,"['Mon, 13 Jul 2020 22:07:10', 'Mon, 13 Jul 2020 22:07:11']",2,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/health-services', 'https://chw.calpoly.edu/self_care']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,4,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/healthpromotion/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html']",2701,54.12,9.64,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.062,0.598,0.175,"['Sat, 11 Jul 2020 09:39:44 GMT', 'Sat, 11 Jul 2020 09:39:39 GMT', 'Sat, 11 Jul 2020 09:39:06 GMT', 'Mon, 13 Jul 2020 21:14:07 GMT']",1,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/healthpromotion/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,1,['https://www.csustan.edu/health-center/clinical-services'],500,74.54,5.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.676,0.158,"['Fri, 17 Jul 2020 19:35:20 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,4,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center/resources', 'https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/health-promotion/health-education-videos-and-resources']",5391,73.69,5.64,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.08,0.73,0.058,"['Thu, 16 Jul 2020 05:41:27 GMT', 'Thu, 16 Jul 2020 04:37:36 GMT', 'Thu, 16 Jul 2020 05:09:45 GMT', 'Thu, 16 Jul 2020 04:37:39 GMT']",0,['https://www.csusb.edu/student-health-center'],1
