University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non-Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo-Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/wellness-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,3,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit']",4095,70.02,6.34,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.057,0.549,0.177,"['Thu, 16 Jul 2020 15:33:52 GMT', 'Thu, 16 Jul 2020 15:33:53 GMT', 'Thu, 16 Jul 2020 15:20:27 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],993,83.48,3.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.013,0.478,0.072,"['Thu, 16 Jul 2020 10:08:31 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Jacksonville State University,http://www.jsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,1,['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml'],4140,80.99,4.3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.086,0.73,0.052,[-1],1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml']",1
University of Alaska Fairbanks,https://uaf.edu/chc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,9,"['https://health.arizona.edu/womens-health', 'https://health.arizona.edu/sites/default/files/sextalk_08.21.17_online_0.pdf', 'https://health.arizona.edu/2019-2020-campuscare-benefits-coverage-period', 'https://health.arizona.edu/sites/default/files/sextalk_11.29.17_online_0.pdf', 'https://health.arizona.edu/sites/default/files/data/Univ_of_AZ_1920_PDBS.pdf', 'https://friend2friend.health.arizona.edu/content/anabolic-steroids']",1691,67.43,7.42,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.054,0.687,0.143,"['Thu, 16 Jul 2020 12:11:48 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 13:41:43 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 17 Jun 2020 20:31:31 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,1,['https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/'],1058,51.04,9.25,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.039,0.877,-0.001,"['Thu, 16 Jul 2020 13:40:20 GMT']",2,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/medical-services/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,4,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/annual-report-2016-17/', 'https://ualr.edu/health/annual-report-2017-2018/']",10344,63.23,8.3,14,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2,0.031,0.657,0.142,"[-1, -1, -1, -1]",2,"['https://ualr.edu/health', 'https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/womens-health-2/']",1
University of Arkansas,https://health.uark.edu,2,['https://health.uark.edu/medical-health/womensclinic.php'],710,69.01,7.33,4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.041,0.706,0.198,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT']",2,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/aitclinic.php', 'https://health.uark.edu/medical-health/womensclinic.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas Tech University,https://www.atu.edu/hwc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,1,['https://uca.edu/studenthealth/womens-health-clinic-2/'],393,79.91,4.68,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.015,0.51,0.096,[-1],1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Bakersfield,https://www.csub.edu/healthcenter,1,['https://www.csub.edu/healthcenter/information/fees/index.html'],662,75.12,5.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.024,0.823,0.025,"['Mon, 13 Jul 2020 21:14:07 GMT']",2,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/information/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,1,['https://www.csustan.edu/health-center/clinical-services'],499,74.54,5.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.012,0.676,0.158,"['Thu, 16 Jul 2020 15:35:52 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,2,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center']",3321,73.32,6.13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,0.56,0.101,"['Thu, 16 Jul 2020 15:35:56 GMT', 'Thu, 16 Jul 2020 15:19:44 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,4,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml']",5247,81.83,5.22,32,10,0,6,1,1,1,1,1,3,0,0,1,0,1,0,2,0,4,0.089,0.503,0.137,"[-1, -1, -1, -1]",2,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,10,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/services/', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/about/index.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/students/patient-assistance.shtml', 'https://www.csuchico.edu/healthcenter/services/travel.shtml', 'https://www.csuchico.edu/healthcenter/faq/confidentiality.shtml', 'https://www.csuchico.edu/healthcenter/students/cant-afford-prescriptions.shtml']",5917,53.93,9.92,22,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.034,0.56,0.059,"[-1, 'Fri, 10 Jul 2020 00:09:05 GMT', -1, -1, -1, -1, -1, -1, -1, -1]",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shps,1,['https://www.csudh.edu/shps/forms/'],470,52.24,10.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016,0.873,0.073,"['Wed, 15 Jul 2020 09:41:06 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/forms/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Fullerton,http://www.fullerton.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University East Bay,https://www.csueastbay.edu/shcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Long Beach,http://web.csulb.edu/divisions/students/shs,2,"['https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html']",1714,63.94,7.93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.025,0.443,0.204,"[-1, -1]",-1,[],1
California State University Los Angeles,http://www.calstatela.edu/studenthealthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Northridge,https://www.csun.edu/shc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Berkeley,https://uhs.berkeley.edu,13,"['https://uhs.berkeley.edu/medical/primary-care/gynecology-services', 'http://uhs.berkeley.edu/sites/default/files/iud_hormonal.pdf', 'https://uhs.berkeley.edu/sites/default/files/depo-provera.pdf', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services/contraceptives-and-family-planning', 'https://uhs.berkeley.edu/medical/patient-handouts', 'https://uhs.berkeley.edu/medical/sample-fees', 'https://uhs.berkeley.edu/sites/default/files/wellfleet_rx_student_formulary_updated_072219_0.pdf']",4226,72.44,6.05,34,8,0,2,0,4,3,2,0,0,0,0,4,0,4,0,0,0,7,0.099,0.522,0.257,"['Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 16 Jul 2020 14:51:30 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 16 Jul 2020 15:14:00 GMT', 'Sat, 01 Feb 2020 00:59:25 GMT', 'Thu, 16 Jul 2020 14:55:45 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 16 Jul 2020 14:49:28 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/medical/primary-care/womens-health']",1
University of California Davis,https://shcs.ucdavis.edu,12,"['https://shcs.ucdavis.edu/blog/archive/healthy-habits/nexplanon-right-you', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/iud-myths-busted', 'https://shcs.ucdavis.edu/topics/intrauterine-device-iud', 'https://shcs.ucdavis.edu/blog/archive/iud-updates-whats-new', 'https://shcs.ucdavis.edu/topics/depo-provera-shotinjectable', 'https://shcs.ucdavis.edu/topics/nexplanon-implant', 'https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/topics/emergency-contraception-ec', 'https://shcs.ucdavis.edu/shcs-blog/archive?page=6', 'https://shcs.ucdavis.edu/topics/oral-contraceptives', 'https://shcs.ucdavis.edu/wellness/health-topics/D']",10936,58.36,10.22,508,202,0,28,12,61,66,5,6,8,0,0,43,0,60,0,1,0,16,0.146,0.493,0.225,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'Tue, 30 Aug 2016 17:56:54 GMT']",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/topics/birth-control-contraception']",1
University of California Irvine,https://shc.uci.edu,5,"['https://shc.uci.edu/people/diane-kennedy-msn-whnp-bc', 'https://shc.uci.edu/services/specialty-care', 'https://shc.uci.edu/sites/default/files/docs/OptumRx_Premium_Standard_070118_final_0.pdf']",2041,39.38,15.38,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.048,0.582,0.103,"['Tue, 29 Oct 2019 18:39:55 GMT', 'Thu, 16 Jul 2020 15:37:58 GMT', 'Thu, 16 Jul 2020 15:37:59 GMT', 'Thu, 16 Jul 2020 15:38:00 GMT', 'Thu, 18 Oct 2018 19:02:30 GMT']",2,"['https://shc.uci.edu', 'https://shc.uci.edu/services/livehealth-online', 'https://shc.uci.edu/services/specialty-care']",1
University of California Los Angeles,https://www.studenthealth.ucla.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Riverside,https://studenthealth.ucr.edu,1,['https://studenthealth.ucr.edu/highlander-care'],454,78.97,5.06,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.031,0,-0.417,"['Thu, 09 Jul 2020 17:27:31 GMT']",1,"['https://studenthealth.ucr.edu', 'https://studenthealth.ucr.edu/highlander-care']",1
University of California San Diego,https://wellness.ucsd.edu/studenthealth/Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
