University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD ,Progesterone IUD ,Progestin ,Hormonal IUD ,Mirena ,Skyla ,Kyleena ,Liletta ,Copper IUD ,Non-Hormonal IUD ,Nonhormonal IUD ,Paragard ,Contraceptive implant ,Nexplanon ,Contraceptive injection ,Control shot ,Depo-Provera ,Depo ,emergency contraception ,emergency contraceptives ,morning after pill ,Plan B ,levonorgestrel ,ella ,ulipristal acetate ,contraceptive pill ,control pill ,diaphragm ,spermicide ,contraceptive patch ,control patch ,vaginal ring ,control ring ,contraceptive ring ,cervical cap,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/wellness-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,5,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit', 'https://www.uab.edu/students/health/insurance-waivers/ship-faq']",5812,67.44,7.71,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.034,0.517,0.262,"['Thu, 16 Jul 2020 20:10:41 GMT', 'Thu, 16 Jul 2020 20:10:42 GMT', 'Thu, 16 Jul 2020 20:10:43 GMT', 'Thu, 16 Jul 2020 20:10:44 GMT', 'Fri, 10 Nov 2017 09:59:46 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],993,83.48,3.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.478,0.072,"['Fri, 17 Jul 2020 19:14:03 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,3,"['https://shc.sa.ua.edu/faq/', 'https://shc.sa.ua.edu/services/']",7718,64.43,8.71,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0.017,0.527,0.072,"[-1, 'Thu, 05 Dec 2019 15:57:02 GMT', -1]",1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/services/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,2,"['https://cws.auburn.edu/aumc/pm/Womens-Health/Services', 'https://cws.auburn.edu/aumc/pm/Services']",1263,64.72,7.73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.525,0.061,"[-1, -1]",1,"['https://cws.auburn.edu/aumc', 'https://cws.auburn.edu/aumc/pm/Services']",1
Jacksonville State University,http://www.jsu.edu/studenthealth,2,"['http://www.jsu.edu/studenthealth/', 'http://www.jsu.edu/studenthealth/educational-services.html']",814,89.89,3.93,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.023,0.603,0.163,"[-1, -1]",0,['http://www.jsu.edu/studenthealth'],1
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,2,"['https://www.southalabama.edu/departments/studenthealth/travelmedicine.html', 'https://www.southalabama.edu/departments/studenthealth/services.html']",2978,71.73,6.17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.021,0.535,0.194,"[-1, -1]",1,"['https://www.southalabama.edu/departments/studenthealth', 'https://www.southalabama.edu/departments/studenthealth/travelmedicine.html']",1
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,2,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",7678,75.32,5.36,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.076,0.675,0.09,"[-1, -1]",1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",1
University of Alaska Fairbanks,https://uaf.edu/chc,2,['https://uaf.edu/chc/eligibility-fees.php'],749,81.69,4.28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.399,0.2,"[-1, -1]",1,"['https://uaf.edu/chc', 'https://uaf.edu/chc/eligibility-fees.php']",1
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,3,"['https://www.uas.alaska.edu/juneau/health/services.html', 'https://www.uas.alaska.edu/juneau/health/resources.html', 'https://www.uas.alaska.edu/juneau/health/faq.html']",3034,50.12,11.19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.029,0.6,0.155,"[-1, -1, -1]",1,"['https://www.uas.alaska.edu/juneau/health', 'https://www.uas.alaska.edu/juneau/health/faq.html']",1
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,25,"['https://health.arizona.edu/birth-control-prescriptions', 'https://health.arizona.edu/contraception', 'https://health.arizona.edu/womens-health', 'https://health.arizona.edu/file/423', 'https://health.arizona.edu/file/386', 'https://health.arizona.edu/sextalk-column', 'https://health.arizona.edu/sites/default/files/sextalk_09.27.17_online.pdf', 'https://health.arizona.edu/pregnancy', 'https://health.arizona.edu/file/396', 'https://health.arizona.edu/resources-1', 'https://health.arizona.edu/sites/default/files/sextalk_09_26_16_online.pdf', 'https://health.arizona.edu/file/441', 'https://health.arizona.edu/file/433', 'https://health.arizona.edu/over-counter-products', 'https://health.arizona.edu/sites/default/files/sextalk_02.27.17_online.pdf', 'https://health.arizona.edu/sites/default/files/sextalk_11.08.17_online.pdf', 'https://health.arizona.edu/ra']",6865,87.28,3.63,64,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,16,13,0.08,0.546,0.16,"['Thu, 16 Jul 2020 20:11:33 GMT', 'Thu, 16 Jul 2020 20:11:33 GMT', 'Thu, 16 Jul 2020 18:45:11 GMT', 'Thu, 16 Jul 2020 20:11:34 GMT', 'Thu, 16 Jul 2020 20:11:34 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 20:11:35 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 19:43:41 GMT', 'Thu, 16 Jul 2020 20:11:37 GMT', 'Thu, 16 Jul 2020 14:18:37 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 20:11:38 GMT', 'Thu, 16 Jul 2020 20:11:39 GMT', 'Thu, 16 Jul 2020 20:11:39 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 19:41:29 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,8,"['https://in.nau.edu/campus-health-services/online-birth-control-module-unassigned/', 'https://in.nau.edu/campus-health-services/online-birth-control-class-assigned-module/', 'https://in.nau.edu/campus-health-services/sexual-health-programs/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/', 'https://in.nau.edu/campus-health-services/sexual-health-resources/', 'https://in.nau.edu/campus-health-services/major-medical-insurance/', 'https://in.nau.edu/campus-health-services/louiecare/']",5006,81.11,4.81,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,18,10,0.044,0.494,0.234,"['Thu, 16 Jul 2020 19:06:30 GMT', 'Thu, 16 Jul 2020 19:06:30 GMT', 'Thu, 16 Jul 2020 19:06:31 GMT', 'Thu, 16 Jul 2020 19:06:31 GMT', 'Thu, 16 Jul 2020 19:06:32 GMT', 'Thu, 16 Jul 2020 19:06:33 GMT', 'Thu, 16 Jul 2020 18:34:09 GMT', 'Thu, 16 Jul 2020 17:57:05 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/major-medical-insurance/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,12,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/services/', 'https://ualr.edu/health/annual-report-2017-2018/', 'https://ualr.edu/health/annual-report-2016-17/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/self-breast-exam/', 'https://ualr.edu/health/2015/07/21/aids-healthcare-foundation-provides-free-condoms/', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/', 'https://ualr.edu/health/2015/07/13/red-ribbon-week/', 'https://ualr.edu/health/2013-2014/', 'https://ualr.edu/health/annual-report/']",17281,63.38,8.29,96,23,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,31,20,0.046,0.585,0.153,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://ualr.edu/health', 'https://ualr.edu/health/womens-health/']",1
University of Arkansas,https://health.uark.edu,8,"['https://health.uark.edu/medical-health/womensclinic.php', 'https://health.uark.edu/mental-health/resources/caps-resources-anxiety-depression-reduction-workbook.pdf', 'https://health.uark.edu/_resources/documents/Medical_Resources/sexual-health/gyt_resource_prevention_lowdown.pdf', 'https://health.uark.edu/medical-health/gyt-clinic.php', 'https://health.uark.edu/medical-health/index.php']",73167,72.96,6.06,23,2,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,1,1,0.067,0.64,0.12,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT', 'Tue, 21 Apr 2020 04:25:22 GMT', 'Mon, 01 Jun 2020 21:42:29 GMT', 'Fri, 02 Aug 2019 21:46:27 GMT', -1, -1, 'Fri, 02 Aug 2019 21:46:27 GMT']",1,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,1,['https://www.astate.edu/a/student-health-center/'],527,73.39,5.71,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.024,0.696,0.075,[-1],0,['https://www.astate.edu/a/student-health-center'],1
Arkansas Tech University,https://www.atu.edu/hwc,14,"['https://www.atu.edu/hwc/wellwomanvisits.php', 'https://www.atu.edu/hwc/resources.php', 'https://www.atu.edu/hwc/docs/gastroreflux.pdf', 'https://www.atu.edu/hwc/docs/UTI%20FINAL.pdf', 'https://www.atu.edu/hwc/docs/Syphilis%20handout%20FINAL.pdf', 'https://www.atu.edu/hwc/docs/HIV_FINAL.pdf', 'https://www.atu.edu/hwc/docs/Genital%20herpes%20FINAL.pdf', 'https://www.atu.edu/hwc/docs/syphilis.pdf']",1473,83.49,3.91,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.051,0.709,0.111,"[-1, -1, 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Mon, 27 Apr 2020 18:22:50 GMT', 'Mon, 27 Apr 2020 18:22:44 GMT', 'Mon, 27 Apr 2020 18:22:38 GMT', 'Mon, 27 Apr 2020 18:21:54 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Mon, 27 Apr 2020 18:21:01 GMT', 'Mon, 27 Apr 2020 18:21:46 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT']",1,"['https://www.atu.edu/hwc', 'https://www.atu.edu/hwc/wellwomanvisits.php']",1
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
