University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/student-support/health-services,,,,,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,5,"['https://www.uab.edu/students/health/billing/student-benefit', 'https://www.uab.edu/students/health/patient-education', 'https://www.uab.edu/students/health/faqs/common-conditions', 'https://www.uab.edu/students/health/billing/fees']",1685,60.84,7.67,5,1,0,0,0,2,2,0.078,0.414,0.37,"['Mon, 24 Aug 2020 22:38:44 GMT', 'Fri, 18 Sep 2020 00:45:12 GMT', 'Fri, 18 Sep 2020 00:45:13 GMT', 'Fri, 18 Sep 2020 00:45:14 GMT', 'Fri, 18 Sep 2020 00:45:14 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/patient-education']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,,,,,,,,,,,,,,,,,,,0
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,2,"['https://shc.sa.ua.edu/services/', 'https://shc.sa.ua.edu/faq/']",7730,61.32,8.93,4,2,2,0,0,0,0,0.05,0.518,0.061,"[-1, -1]",1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/services/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,,,,,,,,,,,,,,,,,,,0
Jacksonville State University,http://www.jsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,0
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,3,"['https://www.una.edu/healthservices/available-services-/pap-smear-recommendations.html', 'https://www.una.edu/healthservices/available-services.html', 'https://www.una.edu/healthservices/health-tips/sexual-health.html']",2508,67.75,7.21,13,12,1,0,0,0,0,0.158,0.566,0.166,"[-1, -1, -1]",1,"['https://www.una.edu/healthservices', 'https://www.una.edu/healthservices/available-services.html']",1
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,1,['https://www.southalabama.edu/departments/studenthealth/services.html'],1428,69.25,6.48,2,1,1,0,0,0,0,0.039,0.597,0.254,[-1],1,"['https://www.southalabama.edu/departments/studenthealth', 'https://www.southalabama.edu/departments/studenthealth/services.html']",1
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,,,,,,,,,,,,,,,,,,,0
University of Alaska Fairbanks,https://www.uaf.edu/chc,,,,,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,,,,,,,,,,,,,,,,,,,0
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,10,"['https://health.arizona.edu/file/433', 'https://health.arizona.edu/womens-health', 'https://health.arizona.edu/sextalk-column', 'https://health.arizona.edu/preventive-care-list', 'https://health.arizona.edu/lgbtq-health', 'https://health.arizona.edu/sites/default/files/sextalk-04.11.18-online.pdf', 'https://health.arizona.edu/sites/default/files/University%20of%20Arizona_2021_PD%26BS_FINAL.pdf']",5093,80.6,4.64,8,3,0,0,0,4,1,0.089,0.529,0.156,"['Fri, 18 Sep 2020 00:48:07 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Fri, 18 Sep 2020 00:48:08 GMT', 'Thu, 17 Sep 2020 22:02:55 GMT', 'Thu, 17 Sep 2020 22:27:38 GMT', 'Thu, 17 Sep 2020 21:33:04 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 17 Jun 2020 20:31:31 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/lgbtq-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,2,"['https://in.nau.edu/campus-health-services/louiecare/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/']",1701,78.91,5.7,4,2,2,0,0,0,0,0.061,0.433,0.29,"['Thu, 17 Sep 2020 22:27:39 GMT', 'Thu, 17 Sep 2020 22:01:41 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,1,['https://ualr.edu/health/womens-health/'],571,44.28,11.36,1,1,0,0,0,0,0,0.076,0.439,0.269,[-1],1,"['https://ualr.edu/health', 'https://ualr.edu/health/womens-health/']",1
University of Arkansas,https://health.uark.edu,4,"['https://health.uark.edu/medical-health/womensclinic.php', 'https://health.uark.edu/medical-health/index.php']",1733,67.45,7,11,7,4,0,0,0,0,0.111,0.678,0.085,"[-1, 'Fri, 02 Aug 2019 21:46:27 GMT', -1, 'Fri, 02 Aug 2019 21:46:27 GMT']",1,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,,,,,,,,,,,,,,,,,,,0
Arkansas Tech University,https://www.atu.edu/hwc,1,['https://www.atu.edu/hwc/wellwomanvisits.php'],837,89.56,3.49,3,0,0,0,0,3,0,0.087,0.598,0.191,[-1],1,"['https://www.atu.edu/hwc', 'https://www.atu.edu/hwc/wellwomanvisits.php']",1
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/exercise-center,,,,,,,,,,,,,,,,,,,0
