University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/wellness-center,,,,,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,2,"['https://www.uab.edu/students/health/billing/student-benefit', 'https://www.uab.edu/students/health/billing/fees']",994,49.53,10.06,1,1,0,0,0,0,0,0.047,0.615,0.242,"['Thu, 16 Jul 2020 22:32:47 GMT', 'Thu, 16 Jul 2020 22:32:47 GMT']",2,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/billing/payment', 'https://www.uab.edu/students/health/billing/fees']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,,,,,,,,,,,,,,,,,,,0
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,2,"['https://shc.sa.ua.edu/services/', 'https://shc.sa.ua.edu/faq/']",7718,61.32,8.93,4,2,2,0,0,0,0,0.05,0.518,0.061,"[-1, -1]",1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/services/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,,,,,,,,,,,,,,,,,,,0
Jacksonville State University,http://www.jsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,0
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,,,,,,,,,,,,,,,,,,,0
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,1,['https://www.southalabama.edu/departments/studenthealth/services.html'],1428,69.25,6.48,2,1,1,0,0,0,0,0.039,0.597,0.254,[-1],1,"['https://www.southalabama.edu/departments/studenthealth', 'https://www.southalabama.edu/departments/studenthealth/services.html']",1
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,,,,,,,,,,,,,,,,,,,0
University of Alaska Fairbanks,https://uaf.edu/chc,,,,,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,,,,,,,,,,,,,,,,,,,0
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,10,"['https://health.arizona.edu/file/433', 'https://health.arizona.edu/womens-health', 'https://health.arizona.edu/sextalk-column', 'https://health.arizona.edu/preventive-care-list', 'https://health.arizona.edu/lgbtq-health', 'https://health.arizona.edu/sites/default/files/sextalk-02.07.18-online_0.pdf', 'https://health.arizona.edu/sites/default/files/University%20of%20Arizona_2021_PD%26BS_FINAL.pdf']",5118,80.18,4.67,8,3,0,0,0,4,1,0.09,0.54,0.141,"['Thu, 16 Jul 2020 20:11:39 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Thu, 16 Jul 2020 18:45:11 GMT', 'Thu, 16 Jul 2020 20:11:35 GMT', 'Thu, 16 Jul 2020 22:49:08 GMT', 'Thu, 16 Jul 2020 18:28:44 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 17 Jun 2020 20:31:31 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,2,"['https://in.nau.edu/campus-health-services/louiecare/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/']",1681,78.91,5.7,4,2,2,0,0,0,0,0.061,0.433,0.29,"['Thu, 16 Jul 2020 21:44:39 GMT', 'Thu, 16 Jul 2020 22:32:55 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/louiecare/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,1,['https://ualr.edu/health/womens-health/'],570,47.49,10.88,1,1,0,0,0,0,0,0.076,0.439,0.269,[-1],1,"['https://ualr.edu/health', 'https://ualr.edu/health/womens-health/']",1
University of Arkansas,https://health.uark.edu,2,"['https://health.uark.edu/medical-health/womensclinic.php', 'https://health.uark.edu/medical-health/index.php']",1729,67.45,7,11,7,4,0,0,0,0,0.111,0.678,0.085,"[-1, -1]",1,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,,,,,,,,,,,,,,,,,,,0
Arkansas Tech University,https://www.atu.edu/hwc,1,['https://www.atu.edu/hwc/wellwomanvisits.php'],829,89.56,3.49,3,0,0,0,0,3,0,0.087,0.598,0.191,[-1],1,"['https://www.atu.edu/hwc', 'https://www.atu.edu/hwc/docs/release_of_information.doc']",1
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,1,['https://uca.edu/studenthealth/womens-health-clinic-2/'],393,73.37,6.47,7,5,2,0,0,0,0,0.225,0.608,0.017,[-1],1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,,,,,,,,,,,,,,,,,,,0
California State University Bakersfield,https://www.csub.edu/healthcenter,5,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/Services/avclinic/index.html', 'https://www.csub.edu/healthcenter/information/index.html']",4143,62.6,7.73,9,6,3,0,0,0,0,0.075,0.577,0.151,"['Sat, 11 Jul 2020 09:39:44 GMT', 'Mon, 13 Jul 2020 21:14:07 GMT', 'Sat, 11 Jul 2020 09:39:39 GMT', 'Sat, 11 Jul 2020 09:39:45 GMT', 'Sat, 11 Jul 2020 09:39:39 GMT']",1,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/information/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,2,"['https://www.csustan.edu/health-center/clinical-services/laboratory-radiology', 'https://www.csustan.edu/health-center/clinical-services']",1104,65.88,6.2,1,1,0,0,0,0,0,0.056,0.672,0.145,"['Thu, 16 Jul 2020 22:50:14 GMT', 'Thu, 16 Jul 2020 22:50:15 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,1,['https://www.csusb.edu/student-health-center'],2086,60.45,8.06,2,1,1,0,0,0,0,0.057,0.653,0.047,"['Thu, 16 Jul 2020 22:33:05 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,6,"['https://www.cpp.edu/health/health-services/womens-exam.shtml', 'https://www.cpp.edu/health/health-topics/screenings-exams1.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml', 'https://www.cpp.edu/health/student-health-services.shtml', 'https://www.cpp.edu/health/health-topics/sexually-transmitted-infections.shtml', 'https://www.cpp.edu/health/index.shtml']",5887,77.38,6.1,27,17,1,0,0,9,0,0.126,0.547,0.091,"[-1, -1, -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/index.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,,,,,,,,,,,,,,,,,,,0
California State University Dominguez Hills,https://www.csudh.edu/shps,1,['https://www.csudh.edu/shps/student-health-services/'],1593,46.34,11.18,2,1,1,0,0,0,0,0.041,0.617,0.13,"['Wed, 15 Jul 2020 10:09:24 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/student-health-services/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,,,,,,,,,,,,,,,,,,,0
California State University Fullerton,http://www.fullerton.edu/health,,,,,,,,,,,,,,,,,,,0
California State University East Bay,https://www.csueastbay.edu/shcs,,,,,,,,,,,,,,,,,,,0
California State University Long Beach,http://web.csulb.edu/divisions/students/shs,2,"['https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html']",1714,63.99,8.02,2,0,0,0,0,2,0,0.047,0.479,0.117,"[-1, -1]",-1,[],1
California State University Los Angeles,http://www.calstatela.edu/studenthealthcenter,,,,,,,,,,,,,,,,,,,0
California State University Northridge,https://www.csun.edu/shc,,,,,,,,,,,,,,,,,,,0
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,,,,,,,,,,,,,,,,,,,0
University of California Berkeley,https://uhs.berkeley.edu,10,"['https://uhs.berkeley.edu/medical/primary-care/gynecology-services/gynecological-care-and-screening', 'https://uhs.berkeley.edu/sites/default/files/WomensHealth.pdf', 'https://uhs.berkeley.edu/medical/primary-care/preventive-health/recommended-health-screening-exams-tests', 'https://uhs.berkeley.edu/sites/default/files/GynecologicandBreastCancers.pdf', 'https://uhs.berkeley.edu/medical/sample-fees', 'https://uhs.berkeley.edu/sites/default/files/hpvvaccine.pdf']",3327,67.15,7.58,17,8,6,0,0,2,1,0.122,0.551,0.163,"['Thu, 16 Jul 2020 22:51:07 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 16 Jul 2020 22:51:08 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 16 Jul 2020 22:46:40 GMT', 'Fri, 06 Mar 2020 22:39:11 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/medical/sample-fees']",1
University of California Davis,https://shcs.ucdavis.edu,10,"['https://shcs.ucdavis.edu/services/womens-health-services', 'https://shcs.ucdavis.edu/blog/your-pelvic-health-important', 'https://shcs.ucdavis.edu/services/sti-testing', 'https://shcs.ucdavis.edu/topics/human-papillomavirus-hpv', 'https://shcs.ucdavis.edu/services/primary-care', 'https://shcs.ucdavis.edu/topics/hpv-vaccine', 'https://shcs.ucdavis.edu/topics/tobacco-cessation', 'https://shcs.ucdavis.edu/topics/genital-warts-hpv', 'https://shcs.ucdavis.edu/blog/archive/general-shcs-info/getting-smart-about-hpv-vaccine', 'https://shcs.ucdavis.edu/blog/archive/general-shcs-info/are-you-positive-youre-negative']",11344,69.19,8.27,30,5,1,0,0,19,5,0.112,0.555,0.124,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/services/primary-care']",1
University of California Irvine,https://shc.uci.edu,5,"['https://shc.uci.edu/faq', 'https://shc.uci.edu/services/specialty-care', 'https://shc.uci.edu/sites/default/files/UC%20SHIP_SHC%20Services%20That%20Require%20No%20Copay%20or%20Coinsurance%20October%202019.pdf']",4574,60.89,9.8,7,5,2,0,0,0,0,0.078,0.658,0.127,"['Thu, 16 Jul 2020 20:00:42 GMT', 'Thu, 16 Jul 2020 20:15:52 GMT', 'Thu, 16 Jul 2020 20:16:00 GMT', 'Tue, 29 Oct 2019 18:39:55 GMT', 'Thu, 22 Feb 2018 21:07:16 GMT']",1,"['https://shc.uci.edu', 'https://shc.uci.edu/faq']",1
University of California Los Angeles,https://www.studenthealth.ucla.edu,7,"['https://www.studenthealth.ucla.edu/services/womens-health', 'https://www.studenthealth.ucla.edu/fees', 'https://www.studenthealth.ucla.edu/services/lab-services', 'https://www.studenthealth.ucla.edu/services/asap-clinic', 'https://www.studenthealth.ucla.edu/services/primary-care', 'https://www.studenthealth.ucla.edu/insurance/bruincare', 'https://www.studenthealth.ucla.edu/services']",6245,58.91,9.54,2,1,1,0,0,0,0,0.029,0.555,0.181,"[-1, -1, -1, -1, -1, -1, -1]",1,"['https://www.studenthealth.ucla.edu', 'https://www.studenthealth.ucla.edu/services']",1
University of California Riverside,https://studenthealth.ucr.edu,,,,,,,,,,,,,,,,,,,0
University of California San Diego,https://wellness.ucsd.edu/studenthealth/Pages,,,,,,,,,,,,,,,,,,,0
University of California Santa Barbara,http://studenthealth.sa.ucsb.edu,3,"['http://studenthealth.sa.ucsb.edu/insurance/gap', 'http://studenthealth.sa.ucsb.edu/docs/default-source/lgbtqi-docs/masculinizing-hormone-consent-10-19-17.pdf?sfvrsn=9f5bf5ab_2']",7564,73.18,5.57,2,0,0,0,0,1,1,0.091,0.754,0.054,"[-1, 'Tue, 09 Apr 2019 20:58:34 GMT', 'Fri, 27 Oct 2017 21:35:41 GMT']",1,"['http://studenthealth.sa.ucsb.edu', 'http://studenthealth.sa.ucsb.edu/docs/default-source/hours---after-hours-or-clinic-hours/after-hours_20200415_final.pdf?sfvrsn=12d1f4ab_0']",1
University of California Santa Cruz,https://healthcenter.ucsc.edu,6,"['https://healthcenter.ucsc.edu/forms/student-handbook/HC-258-Genital-warts-and-HPV.pdf', 'https://healthcenter.ucsc.edu/information/common-reasons.html', 'https://healthcenter.ucsc.edu/information/index.html', 'https://healthcenter.ucsc.edu/forms/2019-2020-uc-sant-cruz-benefits-form-final-10.8.2019.pdf']",1843,72.2,6.12,9,4,4,0,0,1,0,0.099,0.614,0.068,"['Tue, 23 Jun 2020 20:11:09 GMT', 'Tue, 23 Jun 2020 20:11:10 GMT', -1, -1, 'Tue, 23 Jun 2020 20:11:09 GMT', 'Tue, 14 Jul 2020 16:14:32 GMT']",0,['https://healthcenter.ucsc.edu'],1
California State University Maritime Academy,https://www.csum.edu/web/health-services,,,,,,,,,,,,,,,,,,,0
Humboldt State University,https://wellbeing.humboldt.edu,1,['https://wellbeing.humboldt.edu/sexual-health'],1364,-9.45,29.81,3,1,1,0,0,1,0,0.039,0.409,0.352,[-1],2,"['https://wellbeing.humboldt.edu', 'https://wellbeing.humboldt.edu/clone-medical-pharmacy', 'https://wellbeing.humboldt.edu/sexual-health']",1
San Diego State University,https://sa.sdsu.edu/student-health-services,,,,,,,,,,,,,,,,,,,0
