University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD ,Progesterone IUD ,Progestin ,Hormonal IUD ,Mirena ,Skyla ,Kyleena ,Liletta ,Copper IUD ,Non-Hormonal IUD ,Nonhormonal IUD ,Paragard ,Contraceptive implant ,Nexplanon ,Contraceptive injection ,Control shot ,Depo-Provera ,Depo ,emergency contraception ,emergency contraceptives ,morning after pill ,Plan B ,levonorgestrel ,ella ,ulipristal acetate ,contraceptive pill ,control pill ,diaphragm ,spermicide ,contraceptive patch ,control patch ,vaginal ring ,control ring ,contraceptive ring ,cervical cap,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/student-support/health-services,6,"['https://www.aamu.edu/campus-life/student-support/health-services/', 'https://www.aamu.edu/campus-life/student-support/health-services/medical-services.html', 'https://www.aamu.edu/campus-life/student-support/health-services/_documents/student-health-plan-waiver.pdf', 'http://www.aamu.edu/campus-life/student-support/health-services/_documents/medical-form.pdf']",1117,53.98,8.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.632,0.182,"[-1, -1, 'Thu, 06 Feb 2020 15:36:10 GMT', 'Thu, 24 Oct 2019 21:17:14 GMT', 'Thu, 24 Oct 2019 21:48:19 GMT', -1]",0,['https://www.aamu.edu/campus-life/student-support/health-services'],1
University of Alabama at Birmingham,https://www.uab.edu/students/health,6,"['https://www.uab.edu/students/health/billing/fees', 'https://www.uab.edu/students/health/health-services', 'https://www.uab.edu/students/health/billing/student-benefit', 'https://www.uab.edu/students/health/insurance-waivers/ship-faq', 'https://www.uab.edu/students/health/faqs/common-conditions']",6159,68.85,6.88,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0.038,0.402,0.361,"['Fri, 14 Aug 2020 21:53:28 GMT', 'Fri, 14 Aug 2020 23:40:48 GMT', 'Fri, 14 Aug 2020 21:53:29 GMT', 'Fri, 14 Aug 2020 21:53:30 GMT', 'Fri, 10 Nov 2017 09:59:46 GMT', 'Fri, 14 Aug 2020 22:20:11 GMT']",1,"['https://www.uab.edu/students/health', 'https://www.uab.edu/students/health/health-services']",1
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,1,['https://www.uah.edu/health-and-wellness/student-health-center/clinic-services'],1005,83.48,3.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.478,0.072,"['Mon, 17 Aug 2020 16:12:04 GMT']",1,"['https://www.uah.edu/health-and-wellness/student-health-center', 'https://www.uah.edu/health-and-wellness/student-health-center/clinic-services']",1
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,3,"['https://shc.sa.ua.edu/faq/', 'https://shc.sa.ua.edu/services/']",7703,64.43,8.71,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0.017,0.527,0.072,"[-1, 'Thu, 05 Dec 2019 15:57:02 GMT', -1]",1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/services/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,2,"['https://cws.auburn.edu/aumc/pm/Womens-Health/Services', 'https://cws.auburn.edu/aumc/pm/Services']",1263,64.72,7.73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.525,0.061,"[-1, -1]",1,"['https://cws.auburn.edu/aumc', 'https://cws.auburn.edu/aumc/pm/Services']",1
Jacksonville State University,http://www.jsu.edu/studenthealth,2,"['http://www.jsu.edu/studenthealth/', 'http://www.jsu.edu/studenthealth/educational-services.html']",784,90.11,3.91,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.023,0.603,0.163,"[-1, -1]",0,['http://www.jsu.edu/studenthealth'],1
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,5,"['https://www.una.edu/healthservices/health-tips/sexual-health.html', 'https://www.una.edu/healthservices/available-services-/pap-smear-recommendations.html', 'https://www.una.edu/healthservices/programs-and-requests.html', 'https://www.una.edu/healthservices/available-services.html', 'https://www.una.edu/healthservices/health-tips/medical-information.html']",3510,67.54,7.39,33,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,7,3,0.068,0.516,0.168,"[-1, -1, -1, -1, -1]",1,"['https://www.una.edu/healthservices', 'https://www.una.edu/healthservices/available-services.html']",1
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,3,"['https://www.southalabama.edu/departments/studenthealth/travelmedicine.html', 'https://www.southalabama.edu/departments/studenthealth/services.html']",2978,71.73,6.17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.021,0.535,0.194,"[-1, 'Wed, 07 Feb 2018 21:40:52 GMT', -1]",1,"['https://www.southalabama.edu/departments/studenthealth', 'https://www.southalabama.edu/departments/studenthealth/travelmedicine.html']",1
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,2,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",7588,74.81,5.49,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.076,0.675,0.09,"[-1, -1]",1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml']",1
University of Alaska Fairbanks,https://uaf.edu/chc,2,['https://uaf.edu/chc/eligibility-fees.php'],760,81.69,4.28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.399,0.2,"[-1, -1]",1,"['https://uaf.edu/chc', 'https://uaf.edu/chc/eligibility-fees.php']",1
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,3,"['https://www.uas.alaska.edu/juneau/health/services.html', 'https://www.uas.alaska.edu/juneau/health/resources.html', 'https://www.uas.alaska.edu/juneau/health/faq.html']",3034,50.12,11.19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.029,0.6,0.155,"[-1, -1, -1]",1,"['https://www.uas.alaska.edu/juneau/health', 'https://www.uas.alaska.edu/juneau/health/resources.html']",1
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,27,"['https://health.arizona.edu/birth-control-prescriptions', 'https://health.arizona.edu/contraception', 'https://health.arizona.edu/womens-health', 'https://health.arizona.edu/file/386', 'https://health.arizona.edu/file/423', 'https://health.arizona.edu/sextalk-column', 'https://health.arizona.edu/sites/default/files/sextalk_09.27.17_online.pdf', 'https://health.arizona.edu/pregnancy', 'https://health.arizona.edu/file/396', 'https://health.arizona.edu/resources-1', 'https://health.arizona.edu/sites/default/files/sextalk-03.28.18-online.pdf', 'https://health.arizona.edu/sites/default/files/sextalk-04.11.18-online.pdf', 'https://health.arizona.edu/events/1635-free-condom-friday', 'https://health.arizona.edu/events/1696-cancelled-free-condom-friday', 'https://health.arizona.edu/file/441', 'https://health.arizona.edu/file/433', 'https://health.arizona.edu/events/1695-free-condom-friday', 'https://health.arizona.edu/over-counter-products', 'https://health.arizona.edu/sites/default/files/sextalk_02.27.17_online.pdf']",7409,88.69,3.22,64,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,18,12,0.079,0.55,0.176,"['Fri, 14 Aug 2020 23:44:28 GMT', 'Fri, 14 Aug 2020 23:44:29 GMT', 'Fri, 14 Aug 2020 23:44:30 GMT', 'Fri, 14 Aug 2020 23:44:30 GMT', 'Fri, 14 Aug 2020 23:44:31 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Fri, 14 Aug 2020 23:44:31 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Fri, 14 Aug 2020 23:44:33 GMT', 'Fri, 14 Aug 2020 23:44:33 GMT', 'Fri, 14 Aug 2020 23:44:34 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Fri, 14 Aug 2020 23:44:35 GMT', 'Fri, 14 Aug 2020 23:44:36 GMT', 'Fri, 14 Aug 2020 23:44:36 GMT', 'Fri, 14 Aug 2020 23:44:36 GMT', 'Fri, 14 Aug 2020 23:44:37 GMT', 'Fri, 14 Aug 2020 23:44:37 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,9,"['https://in.nau.edu/campus-health-services/online-birth-control-module-unassigned/', 'https://in.nau.edu/campus-health-services/online-birth-control-class-assigned-module/', 'https://in.nau.edu/campus-health-services/sexual-health-programs/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/', 'https://in.nau.edu/campus-health-services/sexual-health-resources/', 'https://in.nau.edu/campus-health-services/major-medical-insurance/', 'https://in.nau.edu/campus-health-services/condom-club/', 'https://in.nau.edu/campus-health-services/louiecare/']",5514,80.63,4.92,63,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,32,13,0.042,0.518,0.229,"['Fri, 14 Aug 2020 21:53:53 GMT', 'Fri, 14 Aug 2020 21:53:54 GMT', 'Fri, 14 Aug 2020 21:53:54 GMT', 'Fri, 14 Aug 2020 21:53:55 GMT', -1, 'Fri, 14 Aug 2020 20:48:10 GMT', 'Fri, 14 Aug 2020 21:00:14 GMT', 'Fri, 14 Aug 2020 21:53:57 GMT', 'Fri, 14 Aug 2020 21:53:57 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/sexual-health-resources/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,14,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/services/', 'https://ualr.edu/health/annual-report-2016-17/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/self-breast-exam/', 'https://ualr.edu/health/2015/07/21/aids-healthcare-foundation-provides-free-condoms/', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/', 'https://ualr.edu/health/2015/07/13/red-ribbon-week/', 'https://ualr.edu/health/category/annual-report/page/3/', 'https://ualr.edu/health/sti-prevention/', 'https://ualr.edu/health/2013-2014/', 'https://ualr.edu/health/peer-leaders/', 'https://ualr.edu/health/annual-report/']",14829,62.45,8.53,88,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,31,20,0.042,0.57,0.154,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://ualr.edu/health', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/']",1
University of Arkansas,https://health.uark.edu,7,"['https://health.uark.edu/medical-health/womensclinic.php', 'https://health.uark.edu/coronavirus/caps-covid-19-resources-anxiety-workbook.pdf', 'https://health.uark.edu/medical-health/gyt-clinic.php', 'https://health.uark.edu/medical-health/index.php']",2323,72.96,6.06,23,2,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,1,1,0.067,0.64,0.12,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT', 'Mon, 01 Jun 2020 21:42:29 GMT', 'Fri, 02 Aug 2019 21:46:27 GMT', -1, -1, 'Fri, 02 Aug 2019 21:46:27 GMT']",1,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,4,"['https://www.astate.edu/a/student-health-center/', 'https://www.astate.edu/a/student-health-center/files/Gastroesophageal%20Reflux.pdf']",581,71.54,6.49,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.021,0.719,0.062,"[-1, 'Thu, 01 Dec 2016 20:46:27 +0000', 'Thu, 01 Dec 2016 21:09:38 +0000', 'Thu, 01 Dec 2016 20:29:19 +0000']",0,['https://www.astate.edu/a/student-health-center'],1
Arkansas Tech University,https://www.atu.edu/hwc,17,"['https://www.atu.edu/hwc/wellwomanvisits.php', 'https://www.atu.edu/hwc/resources.php', 'https://www.atu.edu/hwc/docs/AIC_Brochure_07-08_for_website.pdf', 'https://www.atu.edu/hwc/docs/Arkansas_Student_Health_Insurance_Plan_Booklet_09-10.pdf', 'https://www.atu.edu/hwc/docs/GerdFINAL.pdf', 'https://www.atu.edu/hwc/docs/Syphilis%20handout%20FINAL.pdf', 'https://www.atu.edu/hwc/docs/HIV_FINAL.pdf', 'https://www.atu.edu/hwc/docs/gonorrheahandout_final.pdf', 'https://www.atu.edu/hwc/docs/Bacterial_Vaginosis%20FINAL.pdf']",1479,83.49,3.91,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.051,0.709,0.111,"[-1, -1, 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Mon, 27 Apr 2020 18:22:50 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT', 'Mon, 27 Apr 2020 18:22:38 GMT', 'Mon, 27 Apr 2020 18:21:46 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Mon, 27 Apr 2020 18:22:44 GMT', 'Mon, 27 Apr 2020 18:21:54 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT']",1,"['https://www.atu.edu/hwc', 'https://www.atu.edu/hwc/wellwomanvisits.php']",1
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,2,"['https://uca.edu/studenthealth/womens-health-clinic-2/', 'https://uca.edu/studenthealth/womens-health-clinic']",702,72.32,6.7,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0.07,0.623,0.037,"[-1, -1]",1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,3,"['https://chw.calpoly.edu/specialty_clinics', 'https://chw.calpoly.edu/plan-b', 'https://chw.calpoly.edu/eros']",1216,67.86,7.52,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.04,0.566,0.25,"['Wed, 12 Aug 2020 15:08:54', 'Wed, 12 Aug 2020 15:08:55', 'Wed, 12 Aug 2020 15:08:56']",2,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/health-services', 'https://chw.calpoly.edu/specialty_clinics']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,7,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html', 'https://www.csub.edu/healthcenter/healthpromotion/index.html', 'https://www.csub.edu/healthcenter/Services/pharmacy/index.html', 'https://www.csub.edu/healthcenter/Services/avclinic/index.html', 'https://www.csub.edu/healthcenter/information/index.html']",5293,59.28,8.63,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,3,0,0,0,0,3,3,0.058,0.59,0.137,"['Sat, 08 Aug 2020 09:39:49 GMT', 'Sat, 08 Aug 2020 09:39:44 GMT', 'Tue, 11 Aug 2020 23:54:37 GMT', 'Sat, 08 Aug 2020 09:39:10 GMT', 'Sat, 08 Aug 2020 09:39:46 GMT', 'Sat, 08 Aug 2020 09:39:49 GMT', 'Sat, 08 Aug 2020 09:39:45 GMT']",1,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/information/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,2,"['https://www.csustan.edu/health-center/clinical-services', 'https://www.csustan.edu/health-center/clinical-services/laboratory-radiology']",1090,68.52,5.77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.025,0.65,0.154,"['Fri, 14 Aug 2020 23:51:09 GMT', 'Fri, 14 Aug 2020 23:51:09 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,5,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center/resources', 'https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/health-promotion/health-education-videos-and-resources', 'https://www.csusb.edu/student-health-center/health-promotion/health-promotion-workshop-request-form']",6253,71.37,6.04,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,2,0.069,0.714,0.06,"['Fri, 14 Aug 2020 23:51:29 GMT', 'Fri, 14 Aug 2020 23:51:31 GMT', 'Fri, 14 Aug 2020 23:42:52 GMT', 'Fri, 14 Aug 2020 23:51:33 GMT', 'Fri, 14 Aug 2020 23:51:35 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,16,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-appointment.shtml', 'https://www.cpp.edu/health/health-services/otc_produts.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/index.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-resources.shtml', 'https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/health-services/womens-exam.shtml', 'https://www.cpp.edu/health/emergency-services.shtml', 'https://www.cpp.edu/health/health-services/pharmacy.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml', 'https://www.cpp.edu/health/health-topics/screenings-exams1.shtml', 'https://www.cpp.edu/health/wellness-center/wellness-card.shtml', 'https://www.cpp.edu/health/health-topics/hiv.shtml']",12001,79.64,5.42,214,40,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,8,0,2,9,5,15,3,0,0,5,5,0,0,3,0,0,3,17,1,0,0,8,0,47,29,0.088,0.56,0.109,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, 'Tue, 14 Jan 2020 17:08:10 GMT', -1, -1, -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/index.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,13,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/services/index.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/pricelist.shtml', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/services/pharmacy/medication-safety.shtml', 'https://www.csuchico.edu/healthcenter/services/gender-affirming-care.shtml', 'https://www.csuchico.edu/healthcenter/appointment.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml', 'https://www.csuchico.edu/healthcenter/services/health-education.shtml']",7076,40.47,12.06,58,17,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,4,0.068,0.509,0.1,"[-1, 'Fri, 10 Jul 2020 00:04:51 GMT', -1, -1, -1, -1, -1, -1, -1, -1, 'Fri, 10 Jul 2020 00:04:49 GMT', -1, 'Fri, 10 Jul 2020 00:04:50 GMT']",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shps,2,"['https://www.csudh.edu/shps/student-health-services/', 'https://www.csudh.edu/shps/forms/']",2086,42.45,11.73,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.027,0.625,0.108,"['Wed, 12 Aug 2020 08:45:38 GMT', 'Thu, 13 Aug 2020 21:17:24 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/student-health-services/']",1
