University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Montana State University Northern,https://www.msun.edu/health,,,,,,,,,,,,,,,0
Alabama A & M University,https://www.aamu.edu/campus-life/student-support/health-services,,,,,,,,,,,,,,,0
University of Alabama at Birmingham,https://www.uab.edu/students/health,,,,,,,,,,,,,,,0
University of Alabama in Huntsville,https://www.uah.edu/health-and-wellness/student-health-center,,,,,,,,,,,,,,,0
Alabama State University,https://www.alasu.edu/current-students/wellness-safety/health-center/health-center,,,,,,,,,,,,,,,0
The University of Alabama,https://shc.sa.ua.edu,1,['https://shc.sa.ua.edu/faq/'],6193,59.38,9.43,4,2,2,0.032,0.543,0.064,[-1],1,"['https://shc.sa.ua.edu', 'https://shc.sa.ua.edu/faq/']",1
Auburn University at Montgomery,http://www.aum.edu/current-students/health-and-wellness/student-health-services,,,,,,,,,,,,,,,0
Auburn University,https://cws.auburn.edu/aumc,,,,,,,,,,,,,,,0
Jacksonville State University,http://www.jsu.edu/studenthealth,1,['http://www.jsu.edu/studenthealth/educational-services.html'],344,80.64,5.29,1,1,0,0.026,0.519,0.258,[-1],1,"['http://www.jsu.edu/studenthealth', 'http://www.jsu.edu/studenthealth/educational-services.html']",1
University of West Alabama,https://www.uwa.edu/admissions/undergraduate/studenthealthservices,,,,,,,,,,,,,,,0
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,3,"['https://www.una.edu/healthservices/health-tips/sexual-health.html', 'https://www.una.edu/healthservices/programs-and-requests.html', 'https://www.una.edu/healthservices/health-tips/medical-information.html']",2221,67.86,7,10,7,3,0.072,0.482,0.161,"[-1, -1, -1]",-1,[],1
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,,,,,,,,,,,,,,,0
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,1,['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml'],4009,81.19,4.87,2,1,1,0.02,0.724,0.016,[-1],1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml']",1
University of Alaska Fairbanks,https://www.uaf.edu/chc,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,1,['https://www.uas.alaska.edu/juneau/health/faq.html'],984,52.13,11.21,2,1,1,0.028,0.687,0.1,[-1],1,"['https://www.uas.alaska.edu/juneau/health', 'https://www.uas.alaska.edu/juneau/health/faq.html']",1
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,10,"['https://health.arizona.edu/events/1635-free-condom-friday', 'https://health.arizona.edu/events/1696-cancelled-free-condom-friday', 'https://health.arizona.edu/file/441', 'https://health.arizona.edu/file/435', 'https://health.arizona.edu/over-counter-products', 'https://health.arizona.edu/sites/default/files/sextalk_02.27.17_online.pdf', 'https://health.arizona.edu/contraception', 'https://health.arizona.edu/sites/default/files/sextalk_11.08.17_online.pdf']",2280,83.02,3.72,23,14,9,0.145,0.608,0.119,"['Wed, 16 Sep 2020 13:26:52 GMT', 'Wed, 16 Sep 2020 13:26:52 GMT', 'Wed, 16 Sep 2020 13:26:53 GMT', 'Wed, 16 Sep 2020 13:26:53 GMT', 'Wed, 16 Sep 2020 13:26:53 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 16 Sep 2020 13:26:54 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT']",2,"['https://health.arizona.edu', 'https://health.arizona.edu/international-students-0', 'https://health.arizona.edu/sites/default/files/international_orientation_nextsteps_18-19%20%281%29.pptx']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,3,"['https://in.nau.edu/campus-health-services/sexual-health-programs/', 'https://in.nau.edu/campus-health-services/condom-club/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/']",1828,79.1,5.24,45,32,13,0.136,0.515,0.214,"['Wed, 16 Sep 2020 12:39:21 GMT', 'Wed, 16 Sep 2020 12:39:21 GMT', 'Wed, 16 Sep 2020 12:05:07 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/sexual-health-programs/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,10,"['https://ualr.edu/health/2015/07/21/aids-healthcare-foundation-provides-free-condoms/', 'https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/', 'https://ualr.edu/health/2015/07/13/red-ribbon-week/', 'https://ualr.edu/health/category/annual-report/page/3/', 'https://ualr.edu/health/sti-prevention/', 'https://ualr.edu/health/2013-2014/', 'https://ualr.edu/health/peer-leaders/', 'https://ualr.edu/health/annual-report/', 'https://ualr.edu/health/annual-report-2017-2018/']",11692,63.35,8.16,52,32,20,0.081,0.539,0.155,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://ualr.edu/health', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/']",1
University of Arkansas,https://health.uark.edu,4,"['https://health.uark.edu/medical-health/gyt-clinic.php', 'https://health.uark.edu/_resources/documents/Medical_Resources/sexual-health/gyt_handout_chlamydia.pdf']",590,88.8,3.3,2,1,1,0.027,0.556,0.21,"['Fri, 02 Aug 2019 21:46:27 GMT', -1, 'Fri, 02 Aug 2019 21:46:27 GMT', 'Fri, 02 Aug 2019 21:46:27 GMT']",2,"['https://health.uark.edu', 'https://health.uark.edu/mental-health/faculty-staff-resources.php', 'https://health.uark.edu/mental-health/resources/caps-resources-faculty-staff-presentation.pptx']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,0
